date,price_Bangchak,price_PTT,price_Shell,effective_date
2023-06-17,35.25,35.25,35.74,14 Jun 05:00
2023-06-18,34.95,34.95,35.44,17 Jun 05:00
2023-06-19,34.95,34.95,35.44,17 Jun 05:00
2023-06-20,34.95,34.95,35.44,17 Jun 05:00
2023-06-21,35.45,35.45,35.94,20 Jun 05:00
2023-06-22,35.45,35.45,35.94,20 Jun 05:00
2023-06-23,35.45,35.45,35.94,20 Jun 05:00
2023-06-24,35.45,35.45,35.94,20 Jun 05:00
2023-06-25,35.45,35.45,35.94,20 Jun 05:00
2023-06-26,35.45,35.45,35.94,20 Jun 05:00
2023-06-27,35.45,35.45,35.94,20 Jun 05:00
2023-06-28,35.15,35.15,35.64,27 Jun 05:00
2023-06-29,35.15,35.15,35.64,27 Jun 05:00
2023-06-30,35.15,35.15,35.64,27 Jun 05:00
2023-07-01,35.15,35.15,35.64,27 Jun 05:00
2023-07-02,35.15,35.15,35.15,27 Jun 05:00
2023-07-03,35.15,35.15,35.15,02 Jul 05:00
2023-07-04,35.15,35.15,35.15,02 Jul 05:00
2023-07-05,35.65,35.65,35.65,04 Jul 05:00
2023-07-06,35.65,35.65,35.65,04 Jul 05:00
2023-07-07,35.15,35.15,35.15,06 Jul 05:00
2023-07-08,35.15,35.15,35.15,06 Jul 05:00
2023-07-09,35.55,35.55,35.55,08 Jul 05:00
2023-07-10,35.55,35.55,35.55,08 Jul 05:00
2023-07-11,35.55,35.55,35.55,08 Jul 05:00
2023-07-12,36.05,36.05,36.05,11 Jul 05:00
2023-07-13,36.05,36.05,36.05,11 Jul 05:00
2023-07-14,36.35,36.35,36.35,13 Jul 05:00
2023-07-15,36.65,36.65,36.65,14 Jul 05:00
2023-07-16,36.95,36.95,36.95,15 Jul 05:00
2023-07-17,36.95,36.95,36.95,15 Jul 05:00
2023-07-18,36.95,36.95,36.95,15 Jul 05:00
2023-07-19,37.25,37.25,37.25,18 Jul 05:00
2023-07-20,36.95,36.95,36.95,19 Jul 05:00
2023-07-21,37.25,37.25,37.25,20 Jul 05:00
2023-07-22,37.25,37.25,37.25,20 Jul 05:00
2023-07-23,37.55,37.55,37.55,22 Jul 05:00
2023-07-24,37.55,37.55,37.55,22 Jul 05:00
2023-07-25,37.55,37.55,37.55,22 Jul 05:00
2023-07-26,37.95,37.95,37.95,25 Jul 05:00
2023-07-27,38.35,38.35,38.85,26 Jul 00:01
2023-07-28,38.35,38.35,38.85,26 Jul 00:01
2023-07-29,38.35,38.35,38.85,26 Jul 00:01
2023-07-30,38.35,38.35,38.85,26 Jul 00:01
2023-07-31,38.35,38.35,38.85,26 Jul 00:01
2023-08-01,38.35,38.35,38.85,26 Jul 00:01
2023-08-02,38.35,38.35,38.85,26 Jul 00:01
2023-08-03,38.35,38.35,39.05,26 Jul 00:01
2023-08-04,38.95,38.95,39.95,03 Aug 05:00
2023-08-05,38.95,38.95,39.95,03 Aug 05:00
2023-08-06,38.55,38.55,39.95,05 Aug 05:00
2023-08-07,38.55,38.55,39.95,05 Aug 05:00
2023-08-08,38.55,38.55,39.95,05 Aug 05:00
2023-08-09,38.55,38.55,39.95,05 Aug 05:00
2023-08-10,38.85,38.85,39.85,09 Aug 05:00
2023-08-11,38.85,38.85,39.85,09 Aug 05:00
2023-08-12,38.85,38.85,40.75,09 Aug 05:00
2023-08-13,39.55,39.55,40.75,12 Aug 05:00
2023-08-14,39.55,39.55,40.75,12 Aug 05:00
2023-08-15,39.55,39.55,40.75,12 Aug 05:00
2023-08-16,39.55,39.55,40.55,12 Aug 05:00
2023-08-17,39.55,39.55,40.55,12 Aug 05:00
2023-08-18,39.55,39.55,40.55,12 Aug 05:00
2023-08-19,39.55,39.55,40.55,12 Aug 05:00
2023-08-20,39.55,39.55,40.55,12 Aug 05:00
2023-08-21,39.55,39.55,40.55,12 Aug 05:00
2023-08-22,39.55,39.55,40.55,12 Aug 05:00
2023-08-23,39.55,39.55,40.55,12 Aug 05:00
2023-08-24,39.55,39.55,40.55,12 Aug 05:00
2023-08-25,39.55,39.55,40.55,12 Aug 05:00
2023-08-26,39.55,39.55,40.55,12 Aug 05:00
2023-08-27,39.55,39.55,40.55,12 Aug 05:00
2023-08-28,39.55,39.55,40.55,12 Aug 05:00
2023-08-29,39.55,39.55,40.55,12 Aug 05:00
2023-08-30,40.05,40.05,41.05,29 Aug 05:00
2023-08-31,40.05,40.05,40.95,29 Aug 05:00
2023-09-01,40.05,40.05,40.95,29 Aug 05:00
2023-09-02,39.65,39.65,40.35,01 Sep 05:00
2023-09-03,39.35,39.35,40.05,02 Sep 05:00
2023-09-04,39.35,39.35,40.05,02 Sep 05:00
2023-09-05,39.35,39.35,40.05,02 Sep 05:00
2023-09-06,39.35,39.35,40.05,02 Sep 05:00
2023-09-07,39.35,39.35,40.05,02 Sep 05:00
2023-09-08,39.35,39.35,40.35,02 Sep 05:00
2023-09-09,39.35,39.35,40.35,02 Sep 05:00
2023-09-10,39.35,39.35,40.35,02 Sep 05:00
2023-09-11,39.35,39.35,40.35,02 Sep 05:00
2023-09-12,39.35,39.35,40.35,02 Sep 05:00
2023-09-13,39.65,39.65,40.65,12 Sep 05:00
2023-09-14,39.65,39.65,40.65,12 Sep 05:00
2023-09-15,39.65,39.65,40.65,12 Sep 05:00
2023-09-16,40.05,40.05,40.95,15 Sep 05:00
2023-09-17,40.45,40.45,41.55,16 Sep 05:00
2023-09-18,40.45,40.45,41.55,16 Sep 05:00
2023-09-19,40.45,40.45,41.55,16 Sep 05:00
2023-09-20,40.45,40.45,41.55,16 Sep 05:00
2023-09-21,40.45,40.45,41.55,20 Sep 00:01
2023-09-22,40.45,40.45,41.55,20 Sep 00:01
2023-09-23,40.45,40.45,41.55,20 Sep 00:01
2023-09-24,39.95,39.95,41.05,23 Sep 05:00
2023-09-25,39.95,39.95,41.05,23 Sep 05:00
2023-09-26,39.95,39.95,41.05,23 Sep 05:00
2023-09-27,39.95,39.95,40.75,23 Sep 05:00
2023-09-28,39.45,39.45,40.25,27 Sep 05:00
2023-09-29,39.45,39.45,40.25,27 Sep 05:00
2023-09-30,39.45,39.45,40.45,27 Sep 05:00
2023-10-01,39.45,39.45,40.45,27 Sep 05:00
2023-10-02,39.45,39.45,40.45,27 Sep 05:00
2023-10-03,39.45,39.45,40.45,27 Sep 05:00
2023-10-04,39.15,39.15,40.15,03 Oct 05:00
2023-10-05,38.75,38.75,39.75,04 Oct 05:00
2023-10-06,38.75,38.75,39.25,04 Oct 05:00
2023-10-07,38.25,38.25,38.75,06 Oct 05:00
2023-10-08,37.75,37.75,38.25,07 Oct 05:00
2023-10-09,37.75,37.75,38.25,07 Oct 05:00
2023-10-10,37.75,37.75,38.25,07 Oct 05:00
2023-10-11,37.75,37.75,38.25,07 Oct 05:00
2023-10-12,38.15,38.15,38.65,11 Oct 05:00
2023-10-13,38.15,38.15,38.65,11 Oct 05:00
2023-10-14,38.15,38.15,38.65,11 Oct 05:00
2023-10-15,38.15,38.15,38.65,11 Oct 05:00
2023-10-16,38.15,38.15,38.65,11 Oct 05:00
2023-10-17,38.15,38.15,38.65,11 Oct 05:00
2023-10-18,37.85,37.85,38.35,17 Oct 05:00
2023-10-19,37.85,37.85,38.35,17 Oct 05:00
2023-10-20,37.85,37.85,38.35,17 Oct 05:00
2023-10-21,37.85,37.85,38.35,17 Oct 05:00
2023-10-22,38.25,38.25,38.75,21 Oct 05:00
2023-10-23,38.25,38.25,38.75,21 Oct 05:00
2023-10-24,38.25,38.25,38.75,21 Oct 05:00
2023-10-25,38.25,38.25,38.75,21 Oct 05:00
2023-10-26,38.25,38.25,38.75,21 Oct 05:00
2023-10-27,38.25,38.25,38.75,21 Oct 05:00
2023-10-28,38.25,38.25,38.75,21 Oct 05:00
2023-10-29,38.25,38.25,38.75,21 Oct 05:00
2023-10-30,38.25,38.25,38.75,21 Oct 05:00
2023-10-31,38.25,38.25,38.75,21 Oct 05:00
2023-11-01,38.55,38.55,39.05,31 Oct 05:00
2023-11-02,38.25,38.25,38.75,01 Nov 05:00
2023-11-03,38.25,38.25,38.75,01 Nov 05:00
2023-11-04,38.25,38.25,38.75,01 Nov 05:00
2023-11-05,38.25,38.25,38.75,01 Nov 05:00
2023-11-06,38.25,38.25,38.75,01 Nov 05:00
2023-11-07,38.25,38.25,38.75,01 Nov 05:00
2023-11-08,37.25,37.25,37.55,07 Nov 00:01
2023-11-09,37.25,37.25,37.25,07 Nov 00:01
2023-11-10,36.65,36.65,36.65,09 Nov 05:00
2023-11-11,36.25,36.25,36.25,10 Nov 05:00
2023-11-12,36.25,36.25,36.55,10 Nov 05:00
2023-11-13,36.25,36.25,36.55,10 Nov 05:00
2023-11-14,36.25,36.25,36.55,10 Nov 05:00
2023-11-15,36.25,36.25,36.55,10 Nov 05:00
2023-11-16,36.65,36.65,37.15,15 Nov 05:00
2023-11-17,37.05,37.05,37.55,16 Nov 05:00
2023-11-18,37.05,37.05,37.55,16 Nov 05:00
2023-11-19,36.45,36.45,36.95,18 Nov 05:00
2023-11-20,36.45,36.45,36.95,18 Nov 05:00
2023-11-21,36.45,36.45,36.95,18 Nov 05:00
2023-11-22,36.45,36.45,36.95,18 Nov 05:00
2023-11-23,36.05,36.05,36.55,22 Nov 05:00
2023-11-24,36.05,36.05,36.55,22 Nov 05:00
2023-11-25,36.05,36.05,36.55,22 Nov 05:00
2023-11-26,36.05,36.05,36.55,22 Nov 05:00
2023-11-27,36.05,36.05,36.55,22 Nov 05:00
2023-11-28,36.05,36.05,36.55,22 Nov 05:00
2023-11-29,36.05,36.05,36.55,22 Nov 05:00
2023-11-30,36.05,36.05,36.55,22 Nov 05:00
2023-12-01,36.05,36.05,36.55,22 Nov 05:00
2023-12-02,36.05,36.05,36.55,22 Nov 05:00
2023-12-03,36.05,36.05,36.55,22 Nov 05:00
2023-12-04,36.05,36.05,36.55,22 Nov 05:00
2023-12-05,36.05,36.05,36.55,22 Nov 05:00
2023-12-06,35.65,35.65,36.15,05 Dec 05:00
2023-12-07,35.65,35.65,35.95,05 Dec 05:00
2023-12-08,35.15,35.15,35.45,07 Dec 05:00
2023-12-09,35.15,35.15,35.45,07 Dec 05:00
2023-12-10,34.75,34.75,35.25,09 Dec 05:00
2023-12-11,34.75,34.75,35.25,09 Dec 05:00
2023-12-12,34.75,34.75,35.25,09 Dec 05:00
2023-12-13,34.75,34.75,35.25,09 Dec 05:00
2023-12-14,34.75,34.75,35.25,09 Dec 05:00
2023-12-15,34.75,34.75,35.25,09 Dec 05:00
2023-12-16,34.75,34.75,35.25,09 Dec 05:00
2023-12-17,34.75,34.75,35.25,09 Dec 05:00
2023-12-18,34.75,34.75,35.25,09 Dec 05:00
2023-12-19,34.75,34.75,35.25,09 Dec 05:00
2023-12-20,35.15,35.15,35.45,19 Dec 05:00
2023-12-21,35.15,35.15,35.45,19 Dec 05:00
2023-12-22,35.15,35.15,35.65,19 Dec 05:00
2023-12-23,35.55,35.55,36.05,22 Dec 05:00
2023-12-24,35.55,35.55,36.05,22 Dec 05:00
2023-12-25,35.55,35.55,36.05,22 Dec 05:00
2023-12-26,35.55,35.55,36.05,22 Dec 05:00
2023-12-27,35.55,35.55,36.05,22 Dec 05:00
2023-12-28,35.55,35.55,35.85,22 Dec 05:00
2023-12-29,35.55,35.55,35.85,22 Dec 05:00
2023-12-30,35.25,35.25,35.55,29 Dec 05:00
2023-12-31,35.25,35.25,35.55,29 Dec 05:00
2024-01-01,35.25,35.25,35.55,29 Dec 05:00
2024-01-02,35.25,35.25,35.55,29 Dec 05:00
2024-01-03,35.25,35.25,35.55,29 Dec 05:00
2024-01-04,35.25,35.25,35.55,29 Dec 05:00
2024-01-05,35.25,35.25,35.55,29 Dec 05:00
2024-01-06,34.75,34.75,35.25,05 Jan 05:00
2024-01-07,34.75,34.75,35.25,05 Jan 05:00
2024-01-08,34.75,34.75,35.25,05 Jan 05:00
2024-01-09,34.75,34.75,35.25,05 Jan 05:00
2024-01-10,34.75,34.75,35.25,05 Jan 05:00
2024-01-11,34.75,34.75,35.25,05 Jan 05:00
2024-01-12,34.75,34.75,35.25,05 Jan 05:00
2024-01-13,34.75,34.75,35.25,05 Jan 05:00
2024-01-14,34.75,34.75,35.55,05 Jan 05:00
2024-01-15,34.75,34.75,35.55,05 Jan 05:00
2024-01-16,34.75,34.75,35.55,05 Jan 05:00
2024-01-17,35.25,35.25,35.75,16 Jan 05:00
2024-01-18,35.25,35.25,35.75,16 Jan 05:00
2024-01-19,35.55,35.55,36.05,18 Jan 05:00
2024-01-20,35.55,35.55,36.35,18 Jan 05:00
2024-01-21,35.85,35.85,36.55,20 Jan 05:00
2024-01-22,35.85,35.85,36.55,20 Jan 05:00
2024-01-23,35.85,35.85,36.55,20 Jan 05:00
2024-01-24,36.35,36.35,37.05,23 Jan 05:00
2024-01-25,36.35,36.35,37.05,23 Jan 05:00
